iter	Passed	Remaining
1209	562192	1296294
1210	563343	1297410
1211	563979	1297339
1212	564430	1296839
1213	564941	1296479
1214	566023	1297427
1215	566814	1297706
1216	568333	1299648
1217	570166	1302302
1218	570723	1302035
1219	571239	1301677
1220	572159	1302236
1221	572849	1302272
1222	573419	1302031
1223	574316	1302535
1224	574818	1302140
1225	575546	1302256
1226	576761	1303471
1227	578007	1304752
1228	578791	1304988
1229	579372	1304766
1230	579972	1304585
1231	580609	1304486
1232	581251	1304397
1233	581824	1304155
1234	582330	1303760
1235	582822	1303334
1236	583297	1302871
1237	583805	1302481
1238	584356	1302186
1239	584876	1301822
1240	585621	1301958
1241	586245	1301823
1242	587519	1303130
1243	588925	1304725
1244	589382	1304215
1245	589908	1303858
1246	590554	1303767
1247	591061	1303365
1248	591530	1302882
1249	592131	1302689
1250	592717	1302462
1251	593192	1301990
1252	593643	1301467
1253	594258	1301303
1254	594752	1300873
1255	595254	1300460
1256	595822	1300191
1257	596627	1300438
1258	597137	1300043
1259	597784	1299943
1260	598565	1300136
1261	599796	1301302
1262	600829	1302035
1263	601334	1301622
1264	601800	1301126
1265	602302	1300707
1266	602802	1300282
1267	603262	1299774
1268	603771	1299369
1269	604284	1298973
1270	604826	1298639
1271	605287	1298131
1272	605771	1297674
1273	606306	1297324
1274	607238	1297824
1275	608328	1298656
1276	609140	1298895
1277	610072	1299388
1278	610652	1299127
1279	611428	1299285
1280	612112	1299246
1281	612756	1299121
1282	613342	1298870
1283	613968	1298705
1284	615218	1299859
1285	615856	1299715
1286	616466	1299514
1287	616971	1299090
1288	617528	1298774
1289	618099	1298488
1290	618676	1298213
1291	619361	1298165
1292	620683	1299450
1293	621183	1299012
1294	621789	1298795
1295	622395	1298578
1296	624512	1301508
1297	625130	1301310
1298	625633	1300873
1299	626127	1300419
1300	626607	1299933
1301	627143	1299565
1302	628338	1300559
1303	628883	1300207
1304	629465	1299929
1305	630151	1299869
1306	630848	1299827
1307	631685	1300073
1308	632407	1300082
1309	633285	1300410
1310	634380	1301181
1311	636028	1303082
1312	636850	1303288
1313	637771	1303694
1314	638477	1303659
1315	638972	1303192
1316	640051	1303916
1317	641052	1304478
1318	641636	1304191
1319	642943	1305370
1320	644040	1306119
1321	644686	1305953
1322	645300	1305720
1323	646807	1307294
1324	647689	1307599
1325	649524	1309824
1326	650031	1309369
1327	650578	1308994
1328	651179	1308728
1329	651925	1308752
1330	652990	1309414
1331	653558	1309080
1332	654228	1308947
1333	654843	1308705
1334	655595	1308736
1335	656193	1308457
1336	657061	1308717
1337	657594	1308307
1338	658328	1308299
1339	659413	1308985
1340	660109	1308897
1341	660671	1308542
1342	661253	1308227
1343	662325	1308880
1344	663046	1308839
1345	663626	1308518
1346	665030	1309819
1347	665770	1309810
1348	666488	1309755
1349	667080	1309455
1350	667758	1309320
1351	668572	1309453
1352	669232	1309282
1353	669883	1309093
1354	670548	1308930
1355	671542	1309409
1356	672291	1309408
1357	672847	1309031
1358	673520	1308879
1359	675140	1310565
1360	675975	1310726
1361	676566	1310413
1362	677247	1310273
1363	677813	1309908
1364	678780	1310319
1365	679417	1310092
1366	680411	1310551
1367	681078	1310379
1368	682173	1311029
1369	682896	1310962
1370	684354	1312303
1371	684881	1311857
1372	685589	1311758
1373	686429	1311909
1374	686956	1311463
1375	687474	1310998
1376	688362	1311237
1377	689144	1311274
1378	691331	1313980
1379	691966	1313733
1380	693159	1314542
1381	694210	1315081
1382	695098	1315309
1383	695646	1314892
1384	696458	1314973
1385	697346	1315196
1386	697899	1314788
1387	698677	1314802
1388	699261	1314451
1389	700336	1315021
1390	701361	1315494
1391	701748	1314770
1392	702131	1314039
1393	702719	1313692
1394	703998	1314634
1395	705525	1316038
1396	706276	1315989
1397	707187	1316238
1398	708163	1316607
1399	709602	1317832
1400	710381	1317831
1401	711627	1318693
1402	713157	1320077
1403	714282	1320710
1404	715263	1321074
1405	716084	1321139
1406	717309	1321949
1407	718336	1322391
1408	720010	1324022
1409	720868	1324149
1410	721690	1324208
1411	722250	1323785
1412	723025	1323756
1413	724208	1324472
1414	725243	1324914
1415	726576	1325899
1416	727152	1325501
1417	727694	1325041
1418	728759	1325530
1419	729423	1325290
1420	730376	1325573
1421	732170	1327381
1422	732847	1327159
1423	733513	1326917
1424	734173	1326664
1425	734958	1326636
1426	735872	1326838
1427	736690	1326869
1428	737217	1326372
1429	737760	1325904
1430	738325	1325476
1431	739476	1326100
1432	740065	1325714
1433	740609	1325247
1434	741107	1324696
1435	741642	1324213
1436	742142	1323667
1437	742697	1323220
1438	743262	1322789
1439	744333	1323259
1440	744881	1322797
1441	745671	1322764
1442	746317	1322475
1443	747050	1322342
1444	747641	1321955
1445	748227	1321557
1446	749012	1321512
1447	749935	1321708
1448	750467	1321217
1449	750972	1320675
1450	751512	1320196
1451	752033	1319683
1452	753242	1320377
1453	753876	1320061
1454	754477	1319687
1455	755179	1319489
1456	755691	1318959
1457	756190	1318406
1458	756752	1317963
1459	757315	1317522
1460	757942	1317191
1461	758964	1317545
1462	759508	1317069
1463	760137	1316740
1464	761880	1318339
1465	762490	1317974
1466	764769	1320490
1467	765636	1320565
1468	766437	1320527
1469	767473	1320890
1470	768512	1321256
1471	769378	1321324
1472	770495	1321820
1473	771673	1322419
1474	772392	1322230
1475	773947	1323471
1476	775267	1324306
1477	776281	1324615
1478	776954	1324342
1479	778354	1325307
1480	778885	1324789
1481	779737	1324817
1482	780271	1324303
1483	780821	1323819
1484	781421	1323417
1485	782125	1323192
1486	782820	1322950
1487	783635	1322911
1488	784309	1322633
1489	784943	1322287
1490	786540	1323561
1491	787143	1323161
1492	787734	1322739
1493	788281	1322245
1494	788779	1321668
